site_id,site_name,ccamlr_region,longitude_EPSG:4326,latitude_EPSG:4326
JUAN,Juan Carlos I Station,48.1,-60.383,-62.65
KAYR,Kay Rock,48.1,-60.935,-64.126
KELL,Kellick Island,48.1,-58.3928,-61.9186
KETL,Ketley Point,48.1,-62.7631,-64.7066
KIDS,Kidson Island,58.4.2,61.187,-67.2144
KING,King Point,48.1,-55.481,-63.16
KIRB,Kirby Head,58.4.2,46.5372,-67.2726
KIRT,Kirton/Macklin,58.4.2,63.6378,-67.4907
KITC,Kitchen Point,48.1,-59.347,-62.387
KLOA,Kloa Point,58.4.2,57.28,-66.64
KNOB,"Knobble Head, Bransfield Island",48.1,-56.5694,-63.1619
KOPA,Kopaitic Island,48.1,-57.91,-63.315
KROG,Krogh Island (Islet North of NE coast of K.I.),48.1,-66.960104,-66.250738
KUNO,Kuno Point,48.1,-67.1603,-66.3978
KUZI,Kuzira Point,58.4.2,38.2667,-69.6
LAAG,Laager Point,48.1,-61.146,-62.641
LAFA,Lafarge Rocks,48.1,-57.549,-63.209
LAGO,Lagotellerie Island,48.1,-67.4017,-67.8869
LAIN,Lainez Point,48.1,-67.78,-67.695556
LAIR,Lair Point,48.1,-61.0353,-62.615
LAJA,Lajarte Island,48.1,-63.4752,-64.2357
LARS,Larsen Island,48.2,-46.0777,-60.5955
LAUF,Lauff Island,88.2,-126.7749,-73.2325
LAUT,Lautaro Neck,48.1,-63.1027,-64.8285
LAZA,Lazarev,48.6,15.55,-69.75
LECO,Lecointe Island,48.1,-62.064722,-64.270278
LEDD,Ledda Bay,88.2,-130.784,-74.228
LEWI,Lewis Island,58.4.1,134.3849,-66.1051
LIND,Lindblad Cove,48.1,-59.441111,-63.878611
LSAY,Lindsay Islands,88.3,-103.1829,-73.6094
LION,Lions Rump,48.1,-58.1229,-62.1331
LITC,Litchfield Island,48.1,-64.0919,-64.7708
LITW,Litwin Bay (southwest of Davey Point),48.1,-58.565,-61.987
LLAN,Llano Point,48.1,-58.446,-62.176
LOBO,Lobodon Island,48.1,-61.6009,-64.086
LONG,Long Peninsula Island,58.4.2,78.324,-68.4163
LOUB,Loubat Point,48.1,-63.9265,-65.0776
LOVI,Lovill Bluff,88.2,-127.4361,-73.538
LOWT,Low Tongue,58.4.2,61.9906,-67.5456
LUIT,Luitpold,48.5,-33.6,-77.77
MABE,Mabel Island,48.2,-44.701,-60.675
MPTE,Macaroni Point (east),48.1,-60.543,-62.8987
MPTW,Macaroni Point (west),48.1,-60.5833,-62.8991
MACK,MacKellar Islands,58.4.1,142.65,-66.967
MACO,Mackintosh Cove (east coast),48.2,-44.4912,-60.6851
MADI,Madder Cliff Island,48.1,-56.499,-63.306
MADD,Madder Cliff (Joinville Island),48.1,-56.4831,-63.2989
MAHE,Maher Island,88.2,-127.0503,-73.1983
MALL,Mallory Point,58.4.1,108.6433,-66.83
MAME,Mame-zima,58.4.2,39.4833,-69.0167
MAND,Mandible Cirque,88.1,169.25,-73.117
MANS,Mansfield Point,48.2,-45.7333,-60.65
MARA,Marambio Station Vicinity,48.1,-56.627222,-64.240556
MARI,Mariholm,48.2,-45.693,-60.746
MARR,Marr Bay (east coast),48.2,-44.527,-60.678
MATH,Matthews Island,48.2,-45.155,-60.745
MAWS,Mawson Coast (excl. Bechervaise Island),58.4.2,62.9406,-67.5563
MCAL,McCall Point,48.1,-66.616667,-67.03
MCDO,McDonald Point,58.4.2,59.6654,-67.3427
MLGE,McLeod Glacier (east),48.2,-45.625,-60.721
MLGW,McLeod Glacier (west),48.2,-45.6,-60.7
MEDL,Medley Rocks,48.1,-56.036455,-62.996093
MEGA,Megaptera Island,48.1,-60.806,-63.678
MEHO,Meholmen Island,58.4.2,39.4788,-69.0254
MEIE,Meier Point,48.2,-45.896,-60.636
MELC,Melchior Islands,48.1,-62.962974,-64.312105
MERR,Merritt Island,58.4.1,107.1565,-66.4588
MERT,Mertz Glacier,58.4.1,146.62,-66.892
METC,Metchnikoff Point,48.1,-62.5747,-64.041
METH,Methuen Cove,48.2,-44.576,-60.751
MICH,Michelsen Island,48.2,-45.0233,-60.7324
MIDA,Midas Island,48.1,-61.1008,-64.1685
MIER,Miers Bluff,48.1,-60.4282,-62.7167
MBNE,Miers Bluff Cove (northeast),48.1,-60.431,-62.716
MBNW,Miers Bluff (northwest),48.1,-60.431,-62.716
MIKK,Mikkelsen Harbor (Trinity Island),48.1,-60.791,-63.9022
MITC,Mitchell Cove (Robert Island),48.1,-59.639722,-62.394444
MIZU,Mizukuguri Cove,58.4.2,39.614,-69.197
MOEI,Moe Island,48.2,-45.691,-60.734
MOLI,Molina Point (northeast tip of Lemaire Island),48.1,-62.853889,-64.8075
MONR,Monroe Island,48.2,-46.0568,-60.5997
MOPT,Monroe Point,48.1,-61.5162,-62.8112
MONU,Monument Rocks,48.1,-60.9433,-64.017
MOOT,Moot Point,48.1,-64.078,-65.2062
MORE,Moreton Point,48.2,-46.0308,-60.6122
MPNC,Moreton Point North Coast,48.2,-46.024,-60.61
MBIS,Mount Biscoe,58.4.2,51.3275,-66.2209
MGLE,Mount Gleadell,58.4.2,50.44,-66.941
MRII,Mount Riiser-Larsen,58.4.2,50.5511,-66.7908
MOYE,Moyes,48.2,-45.66,-60.732
MUCK,Muckle Bluff,48.1,-54.86,-61.157
MURR,Murray Islands,48.2,-44.524,-60.773
MYAL,Myall/McMahon,58.4.2,45.7356,-67.6721
NANC,Nancy Rock,48.1,-59.099,-62.23
CRAG,Near Craggy Point (Sugarloaf Island),48.1,-54.186,-61.302
RNVG,Near Ranvik Glacier,58.4.2,77.262724,-69.154027
NEKO,Neko Harbor (Andvord Bay),48.1,-62.5327,-64.8383
NELL,Nella/Thalla Islands,88.1,166.0873,-70.6136
NEIS,Nelly Island,58.4.1,110.1782,-66.2294
NEPT,Nelly Point,48.1,-54.775,-61.157
NEWE,Newell Point,48.1,-59.52,-62.3374
NIGG,Nigg Rock,48.2,-44.864,-60.707
NOBL,Noble Rocks,48.1,-63.4335,-64.7849
NOKK,Nokkelholmane Islands,58.4.2,39.4635,-69.3811
NCAP,North Cape (d'Urville Island),48.1,-56.489,-62.974
NESM,Northeast of Smiggers Island,48.1,-65.346483,-65.451571
NORF,Northern Foothills (Terra Nova Bay),88.1,164,-74.75
NFOR,North Foreland,48.1,-57.688,-61.8928
NCOI,North of Cornwall Island,48.1,-59.702,-62.33
NHAM,North of Hammer Point,48.1,-59.624,-62.33
HEYN,North of Heywood Island,48.1,-59.66,-62.312
NMED,North of Medley Rocks,48.1,-55.9771,-62.9969
NTAY,North of Taylor Point,48.1,-57.648,-61.919
NOPT,North Point,48.2,-45.626,-60.672
NVEG,North Vega Island,48.1,-57.226,-63.8053
NWPO,Northwest coast of Pomona Plateau,48.2,-45.96,-60.544
NWSP,Northwest of Spert Island,48.1,-60.9597,-63.8225
NORW,Norway Bight,48.2,-45.816,-60.616
NOVI,Noville Peninsula,88.3,-98.45,-71.77
OBRI,O'Brien Island,48.1,-55.956,-61.507
ODBE,Odbert Island,58.4.1,110.5421,-66.3742
ORCW,Offshore Rocks off Cape Wallace,48.1,-62.228,-63.235
OLDH,Oldham Island,58.4.2,61.7253,-67.5208
OLIC,Oliphant Channel,48.2,-45.592,-60.729
OLII,Oliphant Islands,48.2,-45.594,-60.736
ONEI,O'Neill Point,48.1,-63.090132,-64.81622
ONGU,Ongulkaven,58.4.2,39.4252,-69.0171
ORNE,Orne Islands,48.1,-62.673,-64.662
ORRO,Ornen Rocks,48.1,-57.566,-62.009
OUTE,Outer Island,48.2,-45.5806,-60.7069
OWEN,Owen Island,48.1,-58.3886,-61.9332
PAGE,Pageant Point,48.2,-45.5843,-60.7286
PALA,Palaver Point,48.1,-61.759,-64.1486
PAND,Pandemonium Point,48.2,-45.648,-60.736
PANT,Pantomime Point,48.2,-45.5833,-60.7266
PABE,Paradise Harbor Beacon (Paradise Bay),48.1,-62.9311,-64.9111
PATE,Patella Island,48.1,-55.5238,-63.1294
PAPT,Patelnia Point,48.1,-58.472,-62.235
PAUL,Paulet Island,48.1,-55.7881,-63.5801
PEIN,Peine Island (Comb Island),48.1,-54.717,-63.411
PENG,Penguin Island,48.1,-57.9269,-62.102
PLDR,Penguin Ladder,48.1,-54.72,-61.143
PEPO,Penguin Point (Seymour Island),48.1,-56.7114,-64.3061
PERS,Persson Island,48.1,-58.4,-64.2
PIIS,Peter I Island,88.3,-90.4917,-68.835
PETE,Petermann Island,48.1,-64.137,-65.176
PSON,Peterson Bank,58.4.1,110.23,-65.92
PISL,Peterson Island,58.4.1,110.4993,-66.4665
PKUP,Pickup Point,48.1,-54.645,-61.116
PILL,Pillar Ridge,48.1,-54.222,-61.271
PING,Pinguino Island,48.1,-60.9857,-64.1435
PPPT,Pink Pool Point,48.1,-54.079,-61.309
PIRI,Pirie Peninsula,48.2,-44.662,-60.69
PLAT,Plato Island (Platter Island),48.1,-54.6742,-63.433
PLEN,Pleneau Island,48.1,-64.0556,-65.104
PGEO,Point Geologie,58.4.1,140.01,-66.67
MART,Point Martin,48.2,-44.7185,-60.7709
OBEL,Point Obelisk (James Ross Inland),48.1,-58.450833,-64.127222
PRAE,Point Rae,48.2,-44.633,-60.757
PTHO,Point Thomas,48.1,-58.4615,-62.1631
WILD,Point Wild,48.1,-54.861,-61.098
PTWD,Point Wordie,48.1,-55.328,-61.245
POMO,Pomona Plateau Northwest coast,48.2,-45.96,-60.544
POPT,Portal Point,48.1,-61.761111,-64.501944
PCHA,Port Charcot,48.1,-64.026,-65.067
PORT,Porteous Point,48.2,-45.675,-60.724
LOCK,Port Lockroy,48.1,-63.484,-64.8231
PMAR,Port Martin,58.4.1,141.3997,-66.8113
POSS,Possession Island,88.1,171.1692,-71.8946
POPO,Pottinger Point,48.1,-58.3582,-61.9325
POWE,Powell Island,48.2,-45.029,-60.725
PRES,President Head (Snow Island),48.1,-61.2001,-62.7255
PRIE,Priest Island (Peltier Channel),48.1,-63.502222,-64.858889
PRIM,Prime Head,48.1,-57.305,-63.2129
PRIN,Principal Point,48.1,-63.431,-64.9121
PROC,Proclamation Island,58.4.2,53.6876,-65.8424
NPRO,Promontories on north-central coast,48.1,-62.075,-63.25
PROS,Prospect Point,48.1,-65.338333,-66.008889
PURD,Purdy Point,48.2,-45.4333,-60.5333
PYPT,Py Point,48.1,-63.5974,-64.8792
PYRI,Pyrites Island,48.1,-57.9491,-61.9241
QPTM,Quinton Point (middle),48.1,-63.683056,-64.335278
QPTN,Quinton Point (north),48.1,-63.636667,-64.314444
QPTS,Quinton Point (south),48.1,-63.685,-64.346389
RAGN,Ragnhild,48.6,27.15,-69.9
RAUE,Rauer Islands,58.4.2,77.6765,-68.8331
RAYN,Rayner Point,48.2,-45.191,-60.648
REDI,Red Island,48.1,-57.88,-63.7356
RRRI,Red Rock Ridge,48.1,-67.1686,-68.2878
RENI,Renier Point,48.1,-59.81,-62.609
RETU,Return Point,48.2,-46.0328,-60.6266
RHYO,Rhyolite Island,48.1,-68.5709,-69.6488
RIDL,Ridley Island,48.1,-58.016,-61.85
RIIS,Riiser,48.6,-15.11,-72.12
RIPP,Rip Point,48.1,-59.001,-62.235
ROBB,Robbery Beaches,48.1,-61.083,-62.616
ROBE,Robert Point (Robert Island),48.1,-59.383,-62.45
RBSN,Robinson,58.4.2,63.4596,-67.4543
RONW,Robinson (northwest),58.4.2,63.413,-67.4489
ROSE,Robinson (southeast),58.4.2,63.4956,-67.4749
RAND,Rocks near Andersson Island,48.1,-56.4856,-63.5603
ROME,Romeo Island,48.1,-59.9268,-62.3763
RONE,Ronge Island East,48.1,-62.6436,-64.6884
ROOK,Rookery Islands,58.4.2,62.5099,-67.6044
ROWE,Rowett Island,48.1,-55.2141,-61.2852
RUDM,Rudmose Rocks,48.2,-44.602,-60.676
RUGG,Rugged Rocks,48.1,-59.816,-62.601
RUMP,Rumpa Island,58.4.2,39.3905,-69.1441
RUPE,Rupert Coast,88.2,-143.3,-75.38
RZEP,Rzepeki Islands,48.1,-58.824,-62.099
SABR,Sabrina Island,88.1,163.309,-66.9171
SAPT,Saddleback Point,48.1,-54.901,-61.099
SADD,Saddle Island,48.2,-44.855,-60.617
SANA,Sanae,48.6,-1.42,-70
SAND,Sandefjord Bay,48.2,-46.0367,-60.605
SANE,San Eliado Point,48.1,-63.1166,-64.844
SART,Sartorius Point,48.1,-59.6567,-62.5596
SAXU,Saxum Nunatak,48.1,-56.0533,-63.1367
SCUL,Scullin/Murray,58.4.2,66.6968,-67.7833
SEAL,Seal Islands,48.1,-55.393,-60.975
SEFB,SE Fisher Bay,58.4.1,146.0809,-67.5949
SELV,Selvick Cove,48.1,-62.5691,-64.6405
SENT,Sentry Rocks,88.1,167.4046,-70.7543
SEPR,SE Promontory,88.1,163.05,-66.65
SERA,Serac Point,48.1,-54.026,-61.177
SHAC,Shackleton Ice Shelf,58.4.1,96.02,-64.86
SHIS,Shag Island,48.1,-58.297,-62.185
SHAG,Shagnasty Island,48.2,-45.618,-60.732
SHEE,Sheelagh Islands,58.4.2,50.1804,-66.5464
SHEI,Shepard Island,88.2,-132.5519,-74.3773
SHEN,Sheppard Nunatak,48.1,-57.0154,-63.3629
SHEP,Sheppard Point,48.1,-56.9844,-63.3707
SHIL,Shilling Shelf,48.1,-54.735,-61.097
SHIN,Shingle Cove (Coronation Island),48.2,-45.5636,-60.6469
SHLY,Shirley/Beall,58.4.1,110.5,-66.283
SHUM,Shumskiy Cove,48.1,-67.3525,-67.072778
SIFF,Siffrey Point,48.1,-57.222222,-63.221944
SIGA,Sigaren,58.4.2,39.4344,-69.1693
SIMS,Sims Island,88.3,-78.5407,-73.2725
SKIL,Skilling Island (north coast),48.2,-45.15,-60.7833
SKOT,Skottsberg Point,48.1,-60.8089,-63.9205
SMAL,Small Island,48.1,-61.4549,-64.0121
SEGI,Small island southeast on Gerlache Island,48.1,-64.2038,-64.6037
SMIG,Smiggers Island,48.1,-65.3514,-65.4597
SMTH,Smith,48.5,-60.83,-74.37
SMYL,Smyley,88.3,-78.83,-72.3
SNOW,Snow Hill Island,48.1,-57.44,-64.52
SOMI,South of Martin Islands,48.1,-65.3381,-65.6881
SOTH,South of Tay Head,48.1,-55.6413,-63.3359
SPBL,South Point Bluff,48.1,-60.6347,-63.0158
SPNW,South Point Bluff (northwest),48.1,-60.6702,-63.0138
SWIS,Southwest Island (Aviation Islands),88.1,158.7833,-69.2666
SPUI,Spence Harbour and unnamed island,48.2,-45.169,-60.699
SPER,Spert Island,48.1,-60.9778,-63.8614
SPIG,Spigot Peak,48.1,-62.554,-64.635
SPIP,Spigot Peak Point,48.1,-62.558,-64.625
SPTR,Spigot Peak Tripod,48.1,-62.5622,-64.6358
SPRO,Spindrift Rocks,48.2,-45.644,-60.683
SPIN,Spine Island (Coronation Island),48.2,-46.0202,-60.594
SPLI,Split Beach,48.1,-54.937,-61.156
SPRI,Sprightly Islands Vicinity,48.1,-61.072,-64.283
STAC,Stackpole Rocks,48.1,-60.9574,-62.678
STCB,Stancomb,48.5,-23.09,-74.12
STAN,Stanton Continental Rock,58.4.2,61.7175,-67.5342
STUN,Stanton unnamed,58.4.2,61.5978,-67.5078
STEE,Steepholm Islands,48.2,-45.15,-60.7833
STEI,Steines Island,58.4.2,76.5825,-69.3412
STEN,Stene Point,48.2,-45.707,-60.654
STER,Sterneck Island,48.1,-60.9826,-64.201
STIG,Stigant Point,48.1,-58.7185,-62.023
STOK,Stoker Island,48.1,-59.85,-62.4
STON,Stonington Island,48.1,-66.997005,-68.186076
STRA,Stranger Point,48.1,-58.6161,-62.26
STUR,Sturge Island,88.1,164.633,-67.467
SVEN,Sven Foyn Island,88.1,171.0695,-71.956
SVIS,Svenner Islands,58.4.2,76.8346,-69.0341
TART,Tartar Point,48.1,-58.423,-61.937
TAYH,Tay Head (Joinville Island),48.1,-55.5508,-63.3486
TAYG,Taylor Glacier,58.4.2,60.88,-67.45
TAYL,Taylor Point,48.1,-57.642,-61.933
TELE,Telefon Bay (Deception Is),48.1,-60.664444,-62.923611
TENM,Tenmondai Rock,58.4.2,41.701,-68.4445
TETR,Tetrad Islands,48.1,-60.734,-63.918
GREE,The Green Glen,48.1,-55.266,-61.271
TTOE,The Toe,48.1,-59.1669,-62.3277
TTUR,The Turret,48.2,-45.166,-60.67
THOR,Thorgaut,58.4.2,63.5433,-67.4425
TWGI,Three islands west of Gerlache Island,48.1,-64.2471,-64.5921
TSIS,Three Sisters,48.1,-57.9135,-62.0779
THUN,Thunder Bay,48.1,-54.117,-61.312
THUR,"Thurston Glacier, Mount Siple",88.2,-125.621,-73.5
TICK,Tickell Head,48.2,-45.798,-60.528
TORG,Torgersen Island,48.1,-64.0741,-64.7731
TORI,Torinosu Cove,58.4.2,39.5667,-69.4833
TOWE,Tower Island (east),48.1,-59.779,-63.591
TOWW,Tower Island (west),48.1,-59.876,-63.56
TRIA,Triangle Point,48.1,-59.839,-62.522
TIEA,Trinity Island (east),48.1,-60.683,-63.883
TINW,Trinity Island (northwest),48.1,-60.749,-63.711
TISW,Trinity Island (southwest),48.1,-60.879,-63.9
TIWE,Trinity Island (west),48.1,-60.829,-63.833
TROW,Trowbridge Islands,48.1,-57.6304,-61.996
TRUA,Truant Island,48.1,-63.407,-64.923
TRUN,Trundle Island,48.1,-65.2885,-65.3938
TRYN,Tryne Islands,58.4.2,78.4125,-68.3809
TUPI,Tupinier Island,48.1,-58.2669,-63.3702
TURR,Turret Point (King George Island),48.1,-57.9514,-62.0875
TXRX,Tuxen Rocks,48.1,-64.1334,-65.2549
TWIN,Twintits Stack,48.1,-55.402,-61.18
HUMM,Two Hummock Island,48.1,-61.7033,-64.1362
TPTN,Two points north of Cape Hooker,48.1,-61.951,-63.319
UCHA,Uchatka Point,48.1,-58.439,-62.22
UFSI,Ufs Island,58.4.2,61.1406,-67.4694
UMBE,Umbeashi,58.4.2,43.01,-68.05
UNGE,Unger Island (Unger Rock),88.1,166.919,-70.6811
UNN2,Unnamed 2,58.4.2,63.5435,-67.4402
UNN7,Unnamed 7,58.4.2,63.3336,-67.4475
UICW,Unnamed island off Cape Wallace,48.1,-62.1783,-63.2322
UIEL,Unnamed island off Elephant Point,48.1,-60.502,-62.6
UIPN,Unnamed Island PE 2 North,58.4.2,77.7162,-68.9013
SMAT,Unnamed islands (South of Matthews Island),48.2,-45.154,-60.742
UIP1,Unnnamed Island PE 1,58.4.2,77.7506,-68.767
UIP2,Unnnamed Island PE 2,58.4.2,77.736,-68.9012
UIP3,Unnnamed Island PE 3,58.4.2,78.211,-68.4419
URUG,Uruguay Island,48.1,-64.223056,-65.2325
USEF,Useful Island,48.1,-62.864,-64.717
VAIS,Valette Island,48.2,-44.622,-60.758
VAPO,Vapour Col (Deception Island),48.1,-60.721,-62.992
VERN,Vernadsky Station,48.1,-64.2567,-65.2453
VESN,Vestfold North,58.4.2,78.0954,-68.4842
VESS,Vestfold South,58.4.2,77.9227,-68.5883
VIET,Vietor Rock,48.1,-61.0981,-62.6831
VRNW,Vietor Rock (northwest),48.1,-61.1021,-62.6746
VIEU,Vieugue Island,48.1,-65.2144,-65.6682
VIEW,View Point,48.1,-57.372169,-63.542242
VORT,Vortex Island,48.1,-57.6415,-63.7257
WALK,Walker Point,48.1,-54.697,-61.143
WATE,Waterboat Point,48.1,-62.8581,-64.8236
WPEC,Watson Peninsula (east coast),48.2,-44.5436,-60.6761
WPWC,Watson Peninsula (west coast),48.2,-44.551,-60.675
WATT,Watt Bay,58.4.1,144.2854,-66.9949
WAYA,Way Archipelago,58.4.1,143.5895,-66.8571
WEBB,Webb Island,48.1,-67.925833,-67.447778
WEDD,Weddell Island,48.2,-44.8479,-60.6359
WEEK,Weeks Stack,48.1,-59.057,-62.234
WELC,Welcome Point,48.1,-55.429,-61.134
WELL,Weller Island,48.1,-65.3817,-65.4453
MOSS,West coast of Mossman Peninsula,48.2,-44.753,-60.772
WSAD,West of Saddleback Point (Penguin Island),48.1,-54.963,-61.106
WHAL,Whalers Bay (Deception Is),48.1,-60.561715,-62.983232
WIDE,Wideopen Islands,48.1,-55.8492,-63.0042
WINW,Window Island,48.1,-61.1237,-62.5654
WINK,Winkle Island (two islets next to Winkle Island),48.1,-65.686,-65.52
WITH,Withem Island,48.1,-59.1381,-62.2352
WOOD,Wood Bay,88.1,165.1332,-74.3299
WOOI,Wood Island,48.1,-60.3042,-62.4841
WORL,Worlds End,48.1,-57.996,-61.856
WOPT,Worley Point,88.2,-132.777,-74.4057
WYAT,Wyatt Earp Islands,58.4.2,78.5385,-68.3569
YALO,Yalour Islands,48.1,-64.1564,-65.2389
YANK,Yankee Harbor,48.1,-59.7687,-62.5257
YOUN,Young Island,88.1,162.4,-66.4167
YTRE,Ytrehovdeholmen,58.4.2,39.4333,-69.2167
ZAWA,Zawadski Stacks,48.1,-58.784,-62.079
ZEDI,Zed Island,48.1,-60.166,-62.433
ZIGZ,Zig Zag Island,48.1,-59.8419,-63.6123
